count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
3136,,,,22460464,-12.62360412,-58.62380563,58,77.96738808,241.4173881,135.9673881,0.242472375,2004
3136,26.19588847,198.3091067,84.19588847,22330984,-12.8751324,-58.62380563,58,57.84928718,223.7076855,115.8492872,0.242216469,2004
3080,37.25991467,205.7140471,95.25991467,21036184,-13.12441489,-58.62380563,58,57.9678639,221.3778329,115.9678639,0.242011281,2004
6216,36.60659729,207.2655619,94.60659729,21040500,-13.25017903,-58.74732398,58,56.78665172,221.7711088,114.7866517,0.241745703,2004
3136,26.13770875,200.7066984,84.13770875,20794488,-13.62522566,-58.62380563,58,54.96605913,223.2264279,112.9660591,0.241510547,2004
3080,40.81212875,209.3725541,90.81212875,19102616,-13.87450815,-58.62380563,50,71.7684015,228.0888889,121.7684015,0.241321297,2004
3136,,,,20446635,-14.12379064,-58.62380563,50,,,,,2004
3136,,,,17830250,-14.37531892,-58.62380563,50,,,,,2004
3080,78.41108988,232.3051928,128.4110899,20767551,-14.62460141,-58.62380563,50,73.81902471,230.0555932,123.8190247,0.240538719,2004
3136,,,,10029492,-14.87388391,-58.62380563,57,,,,,2004
3136,,,,8879100,-15.12541219,-58.62380563,56,,,,,2004
3080,,,,9243200,-15.37469468,-58.62380563,56,,,,,2004
3136,,,,9997632,-15.62397717,-58.62380563,56,,,,,2004
3136,,,,22799400,-15.87550545,-58.62380563,56,,,,,2004
91,,,,8991482,-7.721048456,-58.26672531,12,,,,,2004
1212,,,,9485430,-7.882745207,-58.30265792,12,,,,,2004
703,,,,10581886,-8.14325664,-58.28020004,30,,,,,2004
1315,,,,8107914,-8.408259649,-58.30265792,43,,,,,2004
1861,,,,8486016,-8.623855317,-58.3251158,39,,,,,2004
2779,,,,7246080,-8.884366749,-58.36553999,44,,,,,2004
3080,,,,6967008,-9.124666088,-58.37452314,38,,,,,2004
3080,,,,7164480,-9.376194367,-58.37452314,38,,,,,2004
3025,,,,7082880,-9.625476859,-58.37452314,38,,,,,2004
3080,,,,7542900,-9.87475935,-58.37452314,38,,,,,2004
3080,,,,9128000,-10.12628763,-58.37452314,38,,,,,2004
3025,,,,9602000,-10.37557012,-58.37452314,38,,,,,2004
3080,,,,9650000,-10.62485261,-58.37452314,38,,,,,2004
3080,,,,6735120,-10.87638089,-58.37452314,38,,,,,2004
