system:index,Muni_code_median,Muni_code_sum,count,double_area_km2_median,double_area_km2_sum,double_delay_median,double_delay_sum,double_harvest_median,double_harvest_sum,double_plant_median,double_plant_sum,label,latitude_median,latitude_sum,longitude_median,longitude_sum,onset_historicalRange_median,onset_historicalRange_sum,onset_median,onset_sum,single_area_km2_median,single_area_km2_sum,single_delay_median,single_delay_sum,single_harvest_median,single_harvest_sum,single_plant_median,single_plant_sum,total_planted_area_km2_median,total_planted_area_km2_sum,year_median,year_sum
0_+3450+4507,5107875,1.57E+10,3080,0.241271313,64.42159116,42.69941407,12399.25539,207.744985,56067.55539,92.69941407,25749.25539,16147040,-13.87450815,-42733.48511,-58.87533391,-181336.0284,50,154000,50,154000,0.241278148,31.84772205,72.40089362,9306.666306,229.6745302,29948.61631,122.4008936,15906.66631,0.241275875,96.2693132,2004,6172320
0_+3450+4563,5107958,1.60E+10,3136,,0,,0,,0,,0,16474640,-14.12379064,-44292.20746,-58.87533391,-184633.0471,48,150528,50,156800,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4619,5107958,1.60E+10,3136,,0,,0,,0,,0,17071950,-14.37531892,-45081.00014,-58.87533391,-184633.0471,55,172480,50,156800,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4674,5108352,1.57E+10,3080,0.240490844,0.240490844,90.7503515,90.7503515,223.4003515,223.4003515,140.7503515,140.7503515,12938450,-14.62460141,-45043.77236,-58.87533391,-181336.0284,28,86240,50,154000,0.240505234,3.607568813,69.45302138,1052.007023,224.9030214,3383.757023,119.4530214,1802.007023,0.240505234,3.848059656,2004,6172320
0_+3450+4730,5108352,1.60E+10,3136,,0,,0,,0,,0,12737550,-14.87388391,-46644.49993,-58.87533391,-184633.0471,32,100352,50,156800,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4786,5105002,1.60E+10,3136,,0,,0,,0,,0,8921550,-15.12541219,-47433.29261,-58.87533391,-184633.0471,55,172480,36,112896,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4841,5105002,1.57E+10,3080,,0,,0,,0,,0,11000544,-15.37469468,-47354.05961,-58.87533391,-181336.0284,36,110880,56,172480,,0,,0,,0,,0,,0,2004,6172320
0_+3450+4897,5106828,1.60E+10,3136,,0,,0,,0,,0,12490752,-15.62397717,-48996.7924,-58.87533391,-184633.0471,40,125440,56,175616,,0,,0,,0,,0,,0,2004,6284544
0_+3450+4953,5106828,1.60E+10,3136,,0,,0,,0,,0,20066250,-15.87550545,-49785.58508,-58.87533391,-184633.0471,57,178752,37,116032,,0,,0,,0,,0,,0,2004,6284544
0_+3506+3394,5103379,1.26E+10,2464,,0,,0,,0,,0,7060032,-8.900087267,-21929.81503,-58.62380563,-144449.0571,38,93632,38,93632,,0,,0,,0,,0,,0,2004,4937856
