label,p1_lowerBoundError,p1_upperBoundError
-84363034,12.87829673,-23.12170327
-84372017,17.02285255,-18.97714745
-84381001,15.1266762,-20.8733238
-84389984,17.89237711,-18.10762289
-84223795,23.17078958,-11.82921042
-84232778,53.54340153,23.54340153
-84241761,81.43302926,51.43302926
-84259727,40.74168922,6.741689217
-84268711,29.30994402,-5.690055976
-84286677,6.639944033,-24.36005597
-84295660,4.466453307,-26.53354669
-84304643,12.40195965,-18.59804035
-84313626,12.27907568,-18.72092432
-84322609,8.769322777,-22.23067722
-84331593,16.66776795,-14.33223205
-84367525,42.95437239,12.95437239
-84385492,8.800129029,-27.19987097
-84228287,38.70880177,4.708801772
-84237270,41.40323116,7.40323116
-84246253,41.67522248,7.675222484
-84255236,41.32030715,7.320307147
-84264219,42.8064803,8.806480295
-84282186,28.65817536,-1.341824643
-84291169,17.1704657,-13.8295343
-84363034,45.16976785,15.16976785
-84232779,46.6036221,12.6036221
-84241762,40.01337318,6.013373177
-84250745,51.55693562,17.55693562
-84259728,51.47159556,17.47159556
-84268711,52.69695837,18.69695837
-84286678,25.38512651,-4.614873486
-84255236,38.26447831,4.264478306
-84264219,55.86773007,21.86773007
-84273202,42.61183369,8.611833689
-84291169,11.18468561,-19.81531439
-79080940,17.44146304,-13.55853696
-79089924,25.47275905,-5.527240949
-79098907,19.54857984,-16.45142016
-79085431,33.36318604,-11.63681396
-79094415,29.22575,-15.77425
-79103398,16.72877733,-19.27122267
-79112381,27.11116325,-13.88883675
-79121364,28.63983606,-12.36016394
-79089923,33.73863512,-11.26136488
-79098907,30.13350916,-14.86649084
-79107890,15.05007664,-25.94992336
-79116873,21.13420408,-19.86579592
-79125856,21.16016809,-19.83983191
-79134839,11.68241636,-29.31758364
-79085432,27.1493959,-17.8506041
-79094415,31.32507771,-13.67492229
-79103399,30.89241018,-14.10758982
-79112382,20.99566161,-15.00433839
-79121365,21.15827585,-14.84172415
-79130348,7.441259837,-33.55874016
-79053991,26.45667575,-14.54332425
-79062974,11.13805045,-29.86194955
