system:index,bucketMean,count,year,.geo
3_50,53.46849333,7,2006,
3_51,54.46623745,4,2006,
3_52,55.78014644,3,2006,
3_53,56.52033789,8,2006,
3_54,57.4824983,4,2006,
3_55,58.6345581,7,2006,
3_56,59.81856456,8,2006,
3_57,60.40695574,6,2006,
3_58,61.52119543,5,2006,
3_59,62.51131393,8,2006,
3_60,63.49395644,2,2006,
3_61,64.41585918,3,2006,
3_62,65.722227,6,2006,
3_63,66.30918699,8,2006,
3_64,67.47039609,10,2006,
3_65,68.35084626,5,2006,
3_66,69.54920551,5,2006,
3_67,70.53107437,9,2006,
3_68,71.35122705,8,2006,
3_69,72.53605333,5,2006,
3_70,73.44353403,14,2006,
3_71,74.53707926,7,2006,
3_72,75.4332646,9,2006,
3_73,76.47717186,14,2006,
3_74,77.48759019,13,2006,
3_75,78.55265942,19,2006,
3_76,79.53386557,20,2006,
3_77,80.5049829,22,2006,
3_78,81.51025514,27,2006,
3_79,82.5671217,28,2006,
3_80,83.51364392,41,2006,
3_81,84.52319396,32,2006,
3_82,85.5552768,38,2006,
3_83,86.43355971,38,2006,
3_84,87.35708625,43,2006,
3_85,88.50803389,31,2006,
3_86,89.45201811,32,2006,
3_87,90.43260842,32,2006,
3_88,91.48155938,29,2006,
3_89,92.39824351,27,2006,
3_90,93.42078338,25,2006,
3_91,94.51532984,13,2006,
3_92,95.65221636,11,2006,
3_93,96.46785612,12,2006,
3_94,97.42642613,12,2006,
3_95,98.58335352,13,2006,
3_96,99.30597914,6,2006,
3_97,100.7269916,4,2006,
3_98,101.6874756,10,2006,
3_99,102.5368613,3,2006,
3_100,103.5170182,5,2006,
3_101,104.4622924,6,2006,
3_102,105.6904259,7,2006,
3_103,106.598716,4,2006,
3_104,107.5958108,10,2006,
3_105,108.3650555,6,2006,
3_106,109.4829799,3,2006,
3_107,110.5,0,2006,
3_108,111.7973569,2,2006,
3_109,112.258622,1,2006,
3_110,113.1263299,2,2006,
3_111,114.2143208,2,2006,
3_112,115.334564,1,2006,
3_113,116.4666281,3,2006,
3_114,117.4230277,3,2006,
3_115,118.5,0,2006,
3_116,119.5,0,2006,
3_117,120.9345091,1,2006,
3_118,121.5,0,2006,
3_119,122.8834453,1,2006,
3_120,123.5164209,3,2006,
3_121,124.2432256,1,2006,
3_122,125.844544,1,2006,
3_123,126.6483547,3,2006,
3_124,127.1138873,2,2006,
3_125,128.8717023,2,2006,
3_126,129.5,0,2006,
3_127,130.5,0,2006,
3_128,131.5,0,2006,
3_129,132.5185979,3,2006,
3_130,133.6472187,1,2006,
3_131,134.5,0,2006,
3_132,135.5,0,2006,
3_133,136.7343224,1,2006,
3_134,137.5,0,2006,
3_135,138.5,0,2006,
3_136,139.5,0,2006,
3_137,140.5,0,2006,
3_138,141.5,0,2006,
3_139,142.5,0,2006,
3_140,143.5499581,1,2006,
3_141,144.5,0,2006,
3_142,145.5,0,2006,
3_143,146.5,0,2006,
3_144,147.5,0,2006,
3_145,148.5,0,2006,
3_146,149.5829596,1,2006,
3_147,150.557619,1,2006,
4_0,10.68153092,1,2007,
4_1,11.25,0,2007,
4_2,11.75,0,2007,
4_3,12.25,0,2007,
4_4,12.75,0,2007,
4_5,13.25,0,2007,
4_6,13.75,0,2007,
4_7,14.25,0,2007,
4_8,14.75,0,2007,
4_9,15.25,0,2007,
4_10,15.75,0,2007,
4_11,16.25,0,2007,
4_12,16.75,0,2007,
4_13,17.25,0,2007,
4_14,17.75,0,2007,
4_15,18.25,0,2007,
